Word,Rank,Frequency
character,474,43
hoped,475,43
conversation,476,42
ladies,477,42
spoke,478,42
proper,479,42
different,480,42
need,481,42
call,482,41
night,483,41
reason,484,41
afterwards,485,41
fine,486,41
power,487,41
real,488,41
respect,489,41
five,490,41
open,491,40
allowed,492,40
nature,493,40
beginning,494,40
kindness,495,40
sitting,496,40
early,497,40
expected,498,40
particular,499,40
head,500,40
themselves,501,40
end,502,40
entirely,503,39
question,504,39
meeting,505,39
weather,506,39
round,507,39
returned,508,39
object,509,39
whose,510,39
One,511,39
settled,512,39
Not,513,39
help,514,39
health,515,39
fond,516,39
pleasant,517,39
delightful,518,39
creature,519,39
sit,520,38
continued,521,38
Colonel,522,38
wrong,523,38
child,524,38
fortune,525,38
fancy,526,38
|,--|,527,38
thoughts,528,38
impossible,529,38
letters,530,38
use,531,38
bring,532,38
met,533,38
asked,534,38
added,535,37
Every,536,37
yes,537,37
truth,538,37
seem,539,37
sometimes,540,37
handsome,541,37
engaged,542,37
surprize,543,37
sat,544,37
convinced,545,37
necessary,546,36
temper,547,36
got,548,36
new,549,36
Enscombe,550,36
received,551,36
consider,552,36
forward,553,36
probably,554,36
Now,555,36
meaning,556,36
appear,557,36
determined,558,36
please,559,35
supposed,560,35
gentleman,561,35
large,562,35
news,563,35
company,564,35
taste,565,35
circumstance,566,34
comfortable,567,34
marriage,568,34
At,569,34
obliging,570,34
husband,571,34
amiable,572,34
morrow,573,34
common,574,34
.--",575,34
acquainted,576,33
sent,577,33
pain,578,33
perfect,579,33
evil,580,33
why,581,33
excellent,582,33
sister,583,33
wanting,584,33
face,585,32
Robert,586,32
dancing,587,32
meet,588,32
surprized,589,32
hearing,590,32
ago,591,32
absolutely,592,32
matter,593,32
neither,594,32
match,595,32
|,)|,596,32
keep,597,32
|,'|,598,32
case,599,31
engagement,600,31
spoken,601,31
smiling,602,31
interesting,603,31
Grove,604,31
eye,605,31
persuaded,606,31
resolution,607,31
praise,608,31
says,609,31
ball,610,31
except,611,31
second,612,31
begin,613,31
danger,614,31
yesterday,615,31
:--,616,31
Abbey,617,31
Maple,618,31
compliment,619,31
worth,620,30
drawing,621,30
months,622,30
warm,623,30
With,624,30
knows,625,30
papa,626,30
serious,627,30
circumstances,628,30
difficulty,629,30
fair,630,30
difference,631,30
anxious,632,30
Poor,633,30
appearance,634,30
twenty,635,30
small,636,30
pass,637,30
turned,638,29
greatest,639,29
looks,640,29
charming,641,29
greater,642,29
men,643,29
beauty,644,29
judgment,645,29
attentions,646,29
four,647,29
gratitude,648,29
within,649,29
merely,650,29
week,651,29
followed,652,29
delighted,653,29
cheerful,654,29
curiosity,655,28
shew,656,28
turn,657,28
ten,658,28
easy,659,28
year,660,28
taking,661,28
ashamed,662,28
satisfaction,663,28
worse,664,28
forget,665,28
times,666,28
occasion,667,28
resolved,668,28
companion,669,27
notice,670,27
spirit,671,27
conduct,672,27
alone,673,27
consequence,674,27
advantage,675,27
honour,676,27
parties,677,27
view,678,27
clever,679,27
actually,680,27
happened,681,27
loved,682,27
Your,683,27
table,684,27
decided,685,27
none,686,27
style,687,27
plan,688,26
Let,689,26
tried,690,26
aware,691,26
friendship,692,26
mentioned,693,26
marrying,694,26
knowing,695,26
Campbells,696,26
knowledge,697,26
pity,698,26
favour,699,26
fortunate,700,26
odd,701,26
For,702,26
